material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-775129,Li2Cr3(FeO6)2,76,Pbcn,-1.802654604
mp-777653,Li2Cr3FeO8,56,P1,-2.114950861
mp-762142,Li2Fe3CoO8,56,P4_32_12,-1.642854193
mp-771093,Li3Cr10Fe5O24,42,Cm,-2.167853941
mp-850397,Li4Cr2Fe5O12,46,P2_1,-1.951802745
mp-775227,Li4Fe5(CoO6)2,46,P2_1,-1.708840435
mp-775160,Li4Ti2Fe4(CoO6)3,62,Pbam,-1.948048396
mp-769457,Li4Ti4Cr(Fe2O9)2,62,Pbam,-2.493699517
mp-774870,Li4TiFe4(Co2O9)2,62,Pmc2_1,-1.709325915
mp-759913,Li5Cr3FeO8,68,P1,-2.183615987
mp-769566,Li5Fe2Co3O10,40,Pm,-1.803209097
mp-1176819,Li9Cr12Fe7O48,76,P1,-1.803694366
mp-1978851,Li4TiCo5O12,44,C2/c,-1.858209093
mp-759597,Li4TiCr5O12,66,P-1,-2.452083833
mp-768387,Li4TiCrO6,48,P1,-2.603753188
mp-756514,Li4Y3CrO8,64,C222,-2.982472026
mp-760135,Li5(CoO2)4,68,P1,-1.653816351
mp-766589,Li5(CoO2)8,58,P1,-1.538735324
mp-771191,Li5Co7O16,56,P2_1,-1.474711835
mp-760147,Li5CoO4,80,Pbca,-1.919076385
mp-754233,Li5CrO5,44,C2,-2.077513657
mp-18925,Li6CoO4,44,P4_2/nmc,-1.937202422
mp-781691,Li6Cr5O12,46,P2_1,-2.239312318
mp-758650,Li6MnNi7O16,60,P-1,-1.452632762
mp-772994,Li6Ti15Co3O32,56,R3m,-3.046832797
mp-774674,Li6Ti7Cr5O24,42,P-1,-2.943574472
mp-1640700,Li7Co5O12,48,P2/m,-1.741166758
mp-770861,Li8Cr2O9,76,P-1,-2.083851491
mp-771196,Li8Mn12Ni4O31,55,P1,-1.933928172
mp-772976,Li8Mn15NiO32,56,R32,-2.031767711
mp-776979,Li9(CoO4)2,76,Pca2_1,-1.849942752
mp-676252,Li9(RuO3)10,49,P-1,-1.568763532
mp-758645,Li9Co13O28,50,P1,-1.509413225
mp-851096,Li9Cr19O48,76,P1,-1.972036026
mp-769460,Li9Mn12Ni3O32,56,C2,-1.961634923
mp-759088,Li9Ti7Cr6O30,52,P3,-2.689998582
mp-759353,LiCo5O8,56,P4_332,-1.354812408
mp-772513,LiCr3O8,48,Pnma,-1.861248641
mp-770652,LiCr3O9,78,Cc,-1.693596022
mp-1639391,Li7Mn4CoO12,48,C2/m,-2.067672153
mp-775158,Li8Mn13Cr3O32,56,C2/m,-2.12527924
mp-770529,Li8Mn15CrO32,56,P1,-2.079074758
mp-851099,Li9Mn7Cr12O48,76,P1,-1.913352421
mp-850893,Li9V12Fe7O48,76,P1,-2.090852953
mp-776224,Li3V5O12,80,P2_1/c,-2.457602938
mp-1177934,Li3V8O16,54,P1,-2.458033101
mp-771780,Li3Zn(Fe5O8)4,56,Cm,-1.683307784
mp-1177501,Li3Zn2Fe19O32,56,Cm,-1.699840574
mp-850945,Li47(NiO4)8,87,P1,-1.860940654
mp-849405,Li4Cu2Ni5O12,46,P2_1,-1.316584592
mp-760830,Li4Fe2O5,44,P2_1/c,-1.938707667
mp-759241,Li4Fe7O12,46,P2_1,-1.796059729
